Dia,Hora,Valor,Local
16/07/2022,01:25:45,133,casa-BH
16/07/2022,01:23:42,134,casa-BH
16/07/2022,01:21:39,136,casa-BH
16/07/2022,01:19:36,135,casa-BH
16/07/2022,01:17:29,129,casa-BH
16/07/2022,01:15:23,137,casa-BH
16/07/2022,01:13:20,137,casa-BH
16/07/2022,01:11:16,142,casa-BH
16/07/2022,01:09:13,148,casa-BH
16/07/2022,01:07:10,144,casa-BH
16/07/2022,01:05:07,235,casa-BH
16/07/2022,01:03:04,121,casa-BH
16/07/2022,01:01:01,121,casa-BH
16/07/2022,00:58:57,114,casa-BH
16/07/2022,00:57:54,114,casa-BH
15/07/2022,21:30:32,300,casa-BH
15/07/2022,21:28:01,297,casa-BH
15/07/2022,21:25:57,297,casa-BH
